id_lancamento,data_lancamento,id_centro_custo,id_categoria,id_fornecedor,id_campanha_marketing,valor_lancamento,status_pagamento
41,2023-01-06,9,143,19,,410.67,PAGO
42,2023-01-06,2,107,16,,3014.96,Pago
43,2023-01-06,6,129,14,,3696.86,Pago
44,2023-01-07,6,127,4,,1781.78,PAGO
45,2023-01-07,9,141,15,,881.51,PAGO
46,2023-01-08,999,123,10,,528.26,Paga
47,2023-01-08,10,147,18,,1962.92,PAGO
48,2023-01-08,4,117,1,,224.24,Paga
49,2023-01-09,1,104,14,,3426.22,PAGO
50,2023-01-09,8,136,17,,3895.73,Pago
51,2023-01-09,7,133,13,,1942.14,PAGO
52,2023-01-09,2,110,11,,2357.72,Paga
53,2023-01-09,7,133,19,,1408.62,Paga
54,2023-01-09,2,107,7,,601.5,Paga
55,2023-01-09,8,138,20,,1960.72,Pago
56,2023-01-09,1,102,13,,3376.51,Paga
57,2023-01-09,9,141,15,,2773.3,Paga
58,2023-01-09,9,145,2,,1149.44,Paga
59,2023-01-10,3,112,19,,3329.96,Paga
60,2023-01-10,5,121,3,,282.84,Pago
61,2023-01-10,6,126,13,,362.25,Paga
62,2023-01-10,8,136,9,,1654.37,Paga
63,2023-01-10,8,137,18,,331.67,PAGO
64,2023-01-10,8,136,17,,533.34,Paga
65,2023-01-10,4,120,16,,3220.42,Paga
66,2023-01-10,6,130,1,,2109.09,Paga
67,2023-01-11,1,104,8,,2211.84,PAGO
68,2023-01-11,5,125,13,,3301.88,PAGO
69,2023-01-11,6,127,19,,869.18,PAGO
70,2023-01-11,1,103,16,,3800.72,PAGO
71,2023-01-11,9,143,17,,867.12,Pago
72,2023-01-11,8,136,11,,1460.59,PAGO
73,2023-01-11,1,101,12,,761.31,PAGO
74,2023-01-11,2,108,5,,2877.24,PAGO
75,2023-01-11,3,114,20,,3209.0,Paga
76,2023-01-12,4,120,1,,3294.93,Paga
77,2023-01-12,10,149,20,,3432.88,PAGO
78,2023-01-12,4,120,11,,595.62,Paga
79,2023-01-12,3,111,9,,3322.31,PAGO
80,,4,117,13,,2834.07,Paga
81,2023-01-12,8,139,4,,3882.59,Paga
82,2023-01-12,8,140,2,,2673.68,PAGO
83,2023-01-12,5,121,3,,1411.12,Pago
84,2023-01-12,9,141,6,,1484.21,PAGO
85,2023-01-12,10,149,18,,796.99,Pago
86,2023-01-13,5,123,2,,1102.68,Pago
87,2023-01-13,6,126,4,,1824.9,Paga
88,2023-01-13,1,102,13,,849.16,Paga
89,2023-01-13,8,139,13,,3600.53,Paga
90,2023-01-13,6,127,19,,1893.95,Paga
91,2023-01-13,1,102,14,,3058.49,PAGO
92,2023-01-13,10,147,16,,2303.69,Paga
93,2023-01-13,10,147,19,,2009.8,Pago
94,2023-01-13,9,145,6,,2774.63,PAGO
95,2023-01-14,4,117,5,,362.17,Pago
96,2023-01-14,10,148,13,,1415.05,PAGO
97,2023-01-15,5,125,14,,1941.0,Pago
98,2023-01-15,2,109,4,,768.64,PAGO
99,2023-01-15,10,146,16,,3185.83,PAGO
100,2023-01-16,1,102,13,,1246.57,Pago
101,2023-01-16,6,127,10,,387.31,Paga
102,2023-01-16,5,123,10,,3402.82,PAGO
103,2023-01-16,8,138,14,,1223.8,Paga
104,2023-01-16,8,140,17,,3495.32,Pago
105,2023-01-16,7,132,7,,3165.96,PAGO
106,2023-01-16,1,102,15,,325.67,Pago
107,2023-01-16,9,144,15,,2614.56,Pago
108,2023-01-16,3,114,3,,2430.14,Paga
109,2023-01-16,5,121,8,,1668.95,Pago
110,2023-01-16,4,117,1,,1222.52,Paga
111,2023-01-16,8,137,10,,2660.01,PAGO
112,2023-01-17,7,134,20,,3436.03,Paga
113,2023-01-17,7,135,18,,588.79,PAGO
114,2023-01-17,10,150,11,,1274.17,PAGO
115,2023-01-17,5,123,2,,2693.25,PAGO
116,2023-01-17,10,149,10,,2710.02,PAGO
117,2023-01-17,5,124,7,,1737.48,PAGO
118,2023-01-17,6,127,17,,2808.01,PAGO
119,2023-01-17,5,122,9,,3394.43,PAGO
120,2023-01-17,9,142,10,,3798.31,Paga
121,2023-01-18,6,128,19,,1190.13,Paga
122,2023-01-18,10,150,10,,470.62,Pago
123,2023-01-18,7,131,19,,3509.23,Pago
124,2023-01-18,8,137,6,,1402.26,PAGO
125,2023-01-18,6,126,6,,217.91,Paga
126,2023-01-18,8,136,13,,691.74,Paga
127,2023-01-18,1,101,17,,2228.37,PAGO
128,2023-01-18,4,116,10,,2771.64,PAGO
129,2023-01-18,3,111,10,,1657.49,PAGO
130,2023-01-18,8,140,16,,2466.21,Paga
131,2023-01-18,6,127,7,,826.56,Paga
132,2023-01-19,10,150,9,,842.14,Paga
133,2023-01-19,9,145,4,,384.63,Pago
134,2023-01-19,7,134,1,,1644.96,PAGO
135,2023-01-19,5,124,14,,2714.33,PAGO
136,2023-01-19,2,110,20,,2931.31,Pago
137,2023-01-20,5,125,16,,3897.85,Paga
138,2023-01-20,4,119,19,,1456.29,Pago
139,2023-01-20,8,137,8,,3807.89,PAGO
140,2023-01-20,8,138,10,,1203.68,Pago
141,2023-01-20,6,128,5,,1818.78,Pago
142,2023-01-20,3,113,12,,1558.6,Paga
143,2023-01-20,6,127,16,,632.56,Paga
144,2023-01-20,7,132,4,,629.61,PAGO
145,2023-01-21,10,149,20,,3248.61,PAGO
146,2023-01-21,1,102,9,,2035.7,Paga
147,2023-01-21,6,126,8,,2877.36,PAGO
148,2023-01-21,6,130,16,,2187.79,PAGO
149,2023-01-22,7,132,6,,3388.33,PAGO
150,2023-01-22,9,144,9,,3437.11,Pago
151,2023-01-22,1,105,15,,1046.28,PAGO
152,2023-01-23,2,109,13,,1898.86,Pago
153,2023-01-23,7,131,10,,2317.1,Pago
154,2023-01-23,9,145,8,,986.03,PAGO
155,2023-01-23,8,138,15,,2328.57,PAGO
156,2023-01-23,999,106,10,,3085.42,Pago
157,2023-01-23,9,145,14,,1620.78,Pago
158,2023-01-23,2,108,7,,2521.24,Pago
159,2023-01-23,6,126,15,,3077.17,Pago
160,2023-01-23,8,140,18,,-3833.52,Pago
161,2023-01-23,7,135,6,,2035.14,PAGO
162,2023-01-23,3,111,14,,1672.14,PAGO
163,2023-01-23,10,147,14,,1239.66,Paga
164,2023-01-24,9,143,10,,2905.12,PAGO
165,2023-01-24,6,127,11,,3929.07,PAGO
166,2023-01-24,2,108,18,,2336.66,PAGO
167,2023-01-24,5,124,2,,3271.56,PAGO
168,2023-01-24,4,118,2,,3050.7,Pago
169,2023-01-24,5,122,18,,3063.66,Pago
170,2023-01-24,4,120,2,,1677.77,PAGO
171,2023-01-24,7,134,9,,1782.95,PAGO
172,2023-01-24,4,120,12,,3501.63,Paga
173,2023-01-25,4,118,4,,1905.5,PAGO
174,2023-01-25,7,131,1,,1828.33,PAGO
175,2023-01-25,6,129,20,,2896.82,Pago
176,2023-01-25,5,124,8,,3201.65,PAGO
177,2023-01-25,3,115,12,,459.07,PAGO
178,2023-01-25,4,117,17,,2720.67,Paga
179,2023-01-25,999,140,20,,3330.02,PAGO
180,2023-01-25,10,147,4,,3843.81,PAGO
181,2023-01-26,5,125,17,,2951.11,Pago
182,2023-01-26,8,139,6,,366.64,PAGO
183,2023-01-26,9,145,14,,227.86,Pago
184,2023-01-26,2,107,3,,2243.47,PAGO
185,2023-01-26,3,111,9,,1945.06,Paga
186,2023-01-26,9,141,13,,2384.86,Pago
187,2023-01-26,7,133,3,,-264.19,PAGO
188,2023-01-26,10,146,10,,2863.35,Pago
189,2023-01-26,10,146,6,,1269.77,Paga
190,2023-01-26,9,142,5,,718.25,Paga
191,2023-01-26,5,123,1,,3838.09,Pago
192,2023-01-27,9,145,7,,3798.52,Paga
193,2023-01-27,7,135,6,,741.33,Pago
194,2023-01-27,10,146,3,,3435.27,PAGO
195,2023-01-27,5,121,8,,950.19,PAGO
196,2023-01-27,2,108,10,,2554.16,Pago
197,2023-01-27,10,147,11,,2349.1,Paga
198,2023-01-27,4,117,11,,2906.36,PAGO
199,2023-01-27,8,139,3,,1892.36,Paga
200,2023-01-27,5,122,3,,3586.93,Pago
201,2023-01-27,1,105,2,,2600.18,PAGO
202,2023-01-27,9,143,8,,2265.18,PAGO
203,2023-01-28,3,114,20,,2104.27,Pago
204,2023-01-28,3,115,5,,733.41,Pago
205,2023-01-28,8,138,7,,353.6,Paga
206,2023-01-29,7,134,17,,3688.03,Pago
207,2023-01-29,5,123,3,,2398.8,PAGO
208,2023-01-29,9,143,16,,1630.05,Pago
209,2023-01-30,10,146,9,,2106.98,Pago
210,2023-01-30,4,117,14,,910.24,Paga
211,2023-01-30,6,126,14,,2029.76,Paga
212,2023-01-30,1,102,19,,363.95,PAGO
213,2023-01-30,3,111,1,,832.1,Pago
214,2023-01-30,5,121,14,,1023.05,PAGO
215,2023-01-30,10,147,11,,3219.54,Pago
216,2023-01-30,8,140,17,,2444.26,Pago
217,2023-01-30,9,144,2,,3340.75,PAGO
218,2023-01-30,9,145,1,,3059.06,Pago
219,2023-01-30,7,135,16,,1798.6,Pago
220,2023-01-30,7,133,14,,2438.38,PAGO
221,2023-01-31,5,124,7,,3110.26,Pago
222,2023-01-31,1,101,11,,2396.35,Pago
223,2023-01-31,7,133,14,,605.02,Paga
224,2023-01-31,10,148,18,,2525.15,PAGO
225,2023-01-31,8,137,13,,1606.81,PAGO
226,2023-01-31,3,111,17,,3041.69,Paga
227,2023-01-31,7,133,1,,3243.24,PAGO
228,2023-02-01,3,114,20,,3718.27,Paga
229,2023-02-01,1,104,20,,3736.6,Paga
230,2023-02-01,1,102,17,,2633.11,Paga
231,2023-02-01,5,122,2,,327.72,PAGO
232,2023-02-01,6,127,13,,2689.07,Pago
233,2023-02-01,7,135,10,,961.18,Pago
234,,6,128,6,,1059.92,Pago
235,2023-02-02,7,135,17,,604.57,Pago
236,2023-02-02,5,125,16,,3289.96,PAGO
237,2023-02-02,4,118,16,,3852.71,Paga
238,2023-02-02,2,108,11,,456.71,PAGO
239,2023-02-02,7,133,13,,2162.72,Pago
240,2023-02-02,6,126,9,,2307.3,Pago
241,2023-02-02,3,112,8,,2096.2,Pago
242,2023-02-02,4,117,16,,3378.07,Paga
243,2023-02-02,10,146,11,,3104.13,PAGO
244,2023-02-03,10,148,2,,2065.06,PAGO
245,2023-02-03,9,144,6,,2017.62,PAGO
246,2023-02-03,8,136,13,,-2853.33,Paga
247,2023-02-03,10,146,9,,1436.66,PAGO
248,2023-02-03,8,140,12,,1503.77,Pago
249,2023-02-03,6,129,4,,1262.59,Pago
250,2023-02-03,5,122,16,,2310.29,Paga
251,2023-02-03,1,102,11,,1801.78,Pago
252,2023-02-03,8,138,7,,1153.7,PAGO
253,2023-02-03,5,124,18,,3388.09,Pago
254,2023-02-03,9,143,7,,1507.73,Paga
255,2023-02-03,10,150,17,,2669.49,PAGO
256,2023-02-04,8,136,11,,1648.07,Paga
257,2023-02-04,7,135,10,,2372.22,Pago
258,2023-02-04,5,125,19,,2649.65,Paga
259,2023-02-04,9,144,9,,1773.16,Pago
260,2023-02-05,4,117,1,,1708.77,Pago
261,2023-02-06,9,141,10,,594.93,PAGO
262,2023-02-06,4,117,1,,3002.85,Paga
263,2023-02-06,1,103,9,,3469.4,Paga
264,2023-02-06,9,144,19,,713.44,PAGO
265,2023-02-06,7,135,3,,2631.19,PAGO
266,2023-02-06,8,138,5,,1589.98,Paga
267,2023-02-06,6,128,10,,1982.95,Pago
268,2023-02-06,1,104,14,,-3232.27,PAGO
269,2023-02-06,9,144,8,,1700.06,Pago
270,2023-02-06,5,121,9,,1804.51,Pago
271,2023-02-06,5,125,4,,3273.47,Paga
272,2023-02-07,10,149,18,,1234.11,PAGO
273,2023-02-07,1,102,8,,3894.86,Paga
274,2023-02-07,2,107,12,,255.95,Pago
275,2023-02-07,8,136,16,,1454.94,Pago
276,2023-02-07,3,112,8,,3603.66,Paga
277,2023-02-07,7,134,7,,1139.22,Pago
278,2023-02-07,8,139,18,,2789.48,Paga
279,2023-02-07,9,141,7,,1162.59,PAGO
280,2023-02-07,2,107,13,,2605.05,Paga
281,2023-02-07,4,116,12,,3881.57,PAGO
282,2023-02-07,2,107,2,,799.25,Pago
283,2023-02-07,1,103,11,,2649.38,PAGO
284,2023-02-08,8,137,16,,281.14,Paga
285,2023-02-08,8,140,11,,1319.92,PAGO
286,2023-02-08,8,138,5,,3497.11,PAGO
287,2023-02-08,8,138,13,,-3313.79,PAGO
288,2023-02-08,3,111,18,,2554.99,Paga
289,2023-02-08,7,132,14,,2191.47,Paga
290,2023-02-08,6,126,2,,565.77,PAGO
291,2023-02-08,4,116,16,,2044.41,Pago
292,2023-02-08,9,145,1,,2864.99,Paga
293,2023-02-08,4,119,14,,3727.93,Pago
294,2023-02-09,1,105,7,,1210.1,Pago
295,2023-02-09,9,141,8,,584.66,Pago
296,2023-02-09,10,147,12,,2322.01,PAGO
297,2023-02-09,8,139,6,,3554.73,Pago
298,2023-02-09,9,145,12,,1883.45,Paga
299,2023-02-09,7,134,18,,3339.39,Paga
300,2023-02-09,5,123,10,,-3854.28,Paga
301,2023-02-09,999,146,11,,2166.92,Paga
302,2023-02-09,1,103,2,,3692.63,PAGO
303,2023-02-09,8,138,10,,793.21,Paga
304,2023-02-10,10,149,6,,2362.45,Pago
305,2023-02-10,8,140,19,,3314.16,Pago
306,2023-02-10,7,131,4,,3164.46,Paga
307,2023-02-10,4,120,2,,3728.88,PAGO
308,2023-02-10,6,130,13,,2346.67,Paga
309,2023-02-10,8,140,5,,2385.97,Pago
310,2023-02-11,2,109,14,,2371.47,Pago
311,2023-02-11,3,112,20,,2027.51,Pago
312,2023-02-11,9,142,3,,1120.8,Paga
313,2023-02-12,7,134,10,,1588.02,Pago
314,2023-02-13,6,130,8,,3322.02,Paga
315,2023-02-13,4,118,20,,792.77,PAGO
316,2023-02-13,3,113,11,,252.19,PAGO
317,2023-02-13,4,120,5,,1005.13,PAGO
318,2023-02-13,1,104,7,,2415.42,PAGO
319,2023-02-13,10,148,12,,401.72,PAGO
320,2023-02-13,2,106,4,,1311.48,PAGO
321,2023-02-14,8,140,1,,2219.93,Pago
322,2023-02-14,1,102,12,,3704.63,Paga
323,2023-02-14,6,128,2,,2575.88,Pago
324,2023-02-14,5,124,11,,3583.53,Pago
325,2023-02-14,7,132,8,,533.62,Paga
326,2023-02-14,7,132,18,,2377.01,Paga
327,2023-02-14,3,112,10,,2679.4,PAGO
328,2023-02-14,9,142,3,,1834.24,Pago
329,2023-02-14,9,145,1,,3804.69,Pago
330,2023-02-14,6,129,9,,3852.55,Paga
331,2023-02-15,4,116,19,,699.87,Pago
332,2023-02-15,10,147,16,,2466.17,Pago
333,2023-02-15,3,115,16,,3415.33,Paga
334,2023-02-15,8,137,9,,822.39,Pago
335,2023-02-15,7,132,15,,3020.99,Pago
336,2023-02-15,10,149,20,,2813.88,Paga
337,2023-02-15,7,133,2,,1697.77,PAGO
338,2023-02-16,8,139,2,,3342.64,Pago
339,2023-02-16,9,144,10,,2161.28,PAGO
340,2023-02-16,5,124,5,,832.65,Paga
341,2023-02-16,8,139,18,,543.68,PAGO
342,2023-02-16,3,114,7,,1771.53,Paga
343,2023-02-16,8,136,4,,1150.31,PAGO
344,2023-02-17,2,109,17,,2609.48,Pago
345,2023-02-17,10,147,5,,1638.98,Paga
346,2023-02-17,3,112,15,,879.69,PAGO
347,2023-02-17,5,122,1,,-646.71,Pago
348,2023-02-17,8,139,7,,3450.56,PAGO
349,2023-02-17,10,149,18,,1924.21,Paga
350,2023-02-18,10,150,2,,3316.46,Pago
351,2023-02-18,3,111,14,,2734.59,PAGO
352,2023-02-18,3,112,18,,2753.94,PAGO
353,2023-02-19,8,140,13,,1568.72,Pago
354,2023-02-19,2,109,9,,3404.58,Pago
355,2023-02-20,9,144,17,,2193.66,PAGO
356,2023-02-20,2,109,20,,2951.48,PAGO
357,2023-02-20,6,128,17,,2196.49,PAGO
358,2023-02-20,8,139,4,,3270.33,PAGO
359,2023-02-20,1,104,14,,2576.75,Pago
360,2023-02-20,7,131,10,,1468.41,PAGO
361,2023-02-20,5,121,11,,1369.54,PAGO
362,2023-02-20,6,129,11,,2952.71,PAGO
363,2023-02-20,8,139,18,,3229.57,PAGO
364,2023-02-20,6,129,19,,3179.16,Paga
365,2023-02-21,9,145,12,,271.13,PAGO
366,2023-02-21,2,107,6,,1265.75,Pago
367,2023-02-21,10,150,11,,1680.35,PAGO
368,2023-02-21,1,103,10,,1772.7,Paga
369,2023-02-21,4,120,3,,1348.81,Pago
370,2023-02-21,8,140,16,,294.75,Paga
371,2023-02-21,9,143,17,,3147.03,Pago
372,2023-02-21,3,112,10,,2953.37,Paga
373,2023-02-21,1,105,10,,3513.13,Paga
374,2023-02-21,1,105,9,,3082.28,PAGO
375,2023-02-22,8,136,17,,1236.09,Pago
376,2023-02-22,2,107,10,,2261.61,PAGO
377,2023-02-22,10,147,5,,850.84,Paga
378,2023-02-22,1,104,6,,3632.51,Pago
379,2023-02-22,10,150,7,,2591.99,PAGO
380,2023-02-22,9,141,15,,3899.99,Paga
381,2023-02-22,2,109,8,,1379.49,PAGO
382,2023-02-22,3,115,11,,1180.6,Paga
383,2023-02-22,8,139,10,,315.0,Paga
384,2023-02-22,6,130,11,,2383.78,PAGO
385,2023-02-23,5,125,16,,1951.7,PAGO
386,2023-02-23,7,131,11,,1494.71,PAGO
387,2023-02-23,9,142,16,,857.72,PAGO
388,2023-02-23,2,110,13,,2465.09,Paga
389,2023-02-23,2,110,2,,613.23,PAGO
390,,2,107,5,,3304.73,PAGO
391,2023-02-24,8,140,11,,1307.71,PAGO
392,2023-02-24,5,125,12,,3218.52,PAGO
393,2023-02-24,2,110,12,,230.85,PAGO
394,2023-02-24,9,141,1,,203.2,PAGO
395,2023-02-24,4,119,14,,2868.44,Paga
396,2023-02-24,9,142,12,,2717.45,Paga
397,2023-02-24,7,132,5,,1296.19,PAGO
398,2023-02-25,7,132,20,,521.72,PAGO
399,2023-02-25,7,135,8,,883.23,PAGO
400,2023-02-25,3,114,9,,2497.38,PAGO
401,2023-02-25,7,135,4,,2390.14,Pago
402,2023-02-26,2,107,15,,2974.7,PAGO
403,2023-02-26,9,141,3,,2188.76,PAGO
404,2023-02-26,9,145,15,,1387.5,Pago
405,2023-02-26,9,144,10,,2381.07,Paga
406,2023-02-27,1,105,19,,3047.82,PAGO
407,2023-02-27,3,115,3,,396.16,Paga
408,2023-02-27,3,115,9,,492.08,Paga
409,2023-02-27,1,101,6,,2494.52,PAGO
410,2023-02-27,5,122,5,,2042.69,PAGO
411,2023-02-27,10,147,6,,3382.93,Paga
412,2023-02-27,4,120,2,,2990.57,Paga
413,2023-02-28,8,139,13,,2009.68,Paga
414,2023-02-28,7,134,15,,1197.98,PAGO
415,2023-02-28,7,133,12,,3854.7,PAGO
416,2023-02-28,7,135,19,,3688.56,Paga
417,2023-02-28,7,134,17,,3137.97,PAGO
418,2023-02-28,6,127,4,,1390.43,Pago
419,2023-02-28,9,141,1,,2804.9,Paga
420,2023-03-01,1,105,4,,2695.1,Pago
421,2023-03-01,2,110,6,,693.65,PAGO
422,2023-03-01,2,107,9,,1162.68,Paga
423,2023-03-01,7,133,2,,1177.88,Pago
424,2023-03-01,5,123,6,,876.13,Pago
425,2023-03-01,8,136,9,,746.72,Paga
426,2023-03-02,1,101,5,,467.57,PAGO
427,2023-03-02,1,101,1,,2725.5,Paga
428,2023-03-02,9,144,18,,2016.93,Paga
429,2023-03-02,4,116,12,,1660.81,PAGO
430,2023-03-02,6,128,11,,1722.34,PAGO
431,2023-03-02,2,109,13,,3089.72,Paga
432,2023-03-03,5,124,15,,3606.55,PAGO
433,2023-03-03,4,117,3,,335.65,Pago
434,2023-03-03,9,143,11,,2098.8,Paga
435,2023-03-03,1,104,18,,649.11,PAGO
436,2023-03-03,3,115,16,,1085.35,Pago
437,2023-03-03,10,146,10,,1122.19,PAGO
438,2023-03-03,2,109,20,,2522.66,PAGO
439,2023-03-03,10,147,13,,439.82,Pago
440,2023-03-04,2,110,19,,2274.36,Paga
441,2023-03-04,3,113,18,,440.24,Paga
442,2023-03-04,3,114,20,,1125.85,PAGO
443,2023-03-05,999,111,19,,3542.58,Pago
444,2023-03-05,5,124,17,,2835.31,Paga
445,2023-03-05,8,139,16,,1109.16,Pago
446,2023-03-05,10,146,4,,-2583.33,Paga
447,2023-03-06,10,148,7,,3478.38,PAGO
448,2023-03-06,5,121,6,,936.13,Pago
449,2023-03-06,3,111,15,,405.3,Paga
450,2023-03-06,1,101,4,,3013.58,PAGO
451,2023-03-06,2,107,11,,2941.33,PAGO
452,2023-03-06,4,116,8,,1439.3,Pago
453,2023-03-07,8,140,13,,2040.75,Paga
454,2023-03-07,6,127,5,,1939.41,Pago
455,2023-03-07,1,105,11,,426.68,Pago
456,2023-03-07,4,118,18,,2493.82,PAGO
457,2023-03-07,4,116,15,,1764.45,PAGO
458,2023-03-07,5,121,8,,2974.07,PAGO
459,2023-03-08,10,146,2,,1787.53,Pago
460,2023-03-08,7,135,18,,1698.42,PAGO
461,2023-03-08,1,104,1,,3809.75,Pago
462,2023-03-08,8,138,15,,814.85,Paga
463,2023-03-08,8,137,1,,3521.96,Paga
464,2023-03-08,2,109,20,,3595.05,Paga
465,2023-03-08,9,145,2,,3219.02,PAGO
466,2023-03-09,1,101,18,,1655.23,Paga
467,2023-03-09,2,110,16,,2895.48,Pago
468,2023-03-09,10,147,14,,3062.06,Pago
469,2023-03-09,5,121,16,,440.8,Paga
470,2023-03-09,9,145,3,,3617.91,Paga
471,2023-03-09,4,119,4,,531.77,Paga
472,2023-03-09,3,113,1,,625.69,Pago
473,2023-03-09,5,124,1,,3884.38,PAGO
474,2023-03-09,5,122,19,,439.21,Pago
475,2023-03-09,6,128,10,,2047.36,PAGO
476,2023-03-10,5,122,2,,3199.22,Pago
477,2023-03-10,3,113,6,,1280.65,Pago
478,2023-03-10,3,112,9,,812.77,Pago
479,2023-03-10,6,127,12,,979.59,PAGO
480,2023-03-10,8,140,16,,3906.77,PAGO
481,2023-03-10,999,114,11,,3725.68,Pago
482,2023-03-10,5,124,15,,3604.71,PAGO
483,2023-03-11,2,109,20,,3620.66,Pago
484,2023-03-11,4,119,8,,1558.1,Paga
485,2023-03-11,5,122,17,,285.68,PAGO
486,2023-03-12,4,119,13,,1407.48,PAGO
487,2023-03-12,3,114,15,,1604.59,Paga
488,2023-03-12,9,141,6,,1019.64,Paga
489,2023-03-12,7,134,17,,730.36,PAGO
490,2023-03-13,999,110,6,,3073.23,Pago
491,2023-03-13,9,144,16,,2898.94,Pago
492,2023-03-13,1,103,1,,3371.42,Paga
493,2023-03-13,3,113,10,,1340.64,PAGO
494,2023-03-13,7,132,16,,2069.17,PAGO
495,2023-03-13,2,110,16,,3033.15,PAGO
496,2023-03-13,2,108,5,,2147.6,PAGO
497,2023-03-13,6,129,12,,3537.61,Pago
498,2023-03-13,1,103,6,,1308.32,PAGO
499,2023-03-13,2,110,10,,3059.99,PAGO
500,2023-03-14,6,126,12,,2230.8,Paga
501,2023-03-14,8,139,7,,1493.19,Pago
502,2023-03-14,9,145,4,,2820.68,PAGO
503,2023-03-14,7,134,10,,3680.92,Pago
504,2023-03-14,6,127,10,,3304.75,PAGO
505,2023-03-14,1,101,5,,1044.96,PAGO
506,2023-03-14,2,109,2,,2825.11,Pago
507,2023-03-14,4,116,9,,324.61,PAGO
508,2023-03-14,1,101,7,,1346.25,Pago
509,2023-03-15,3,113,12,,311.18,Pago
510,2023-03-15,6,127,19,,3449.52,PAGO
511,2023-03-15,1,105,1,,1024.59,Pago
512,2023-03-15,2,107,4,,3697.81,PAGO
513,2023-03-15,3,113,11,,3928.94,Paga
514,2023-03-15,2,109,2,,619.2,Pago
515,2023-03-15,2,108,15,,2076.11,Paga
516,2023-03-15,4,120,16,,1747.67,Paga
517,2023-03-16,3,111,3,,3995.15,Paga
518,2023-03-16,2,107,6,,1700.28,PAGO
519,2023-03-16,2,108,8,,3905.79,Paga
520,2023-03-16,7,134,13,,1258.37,PAGO
521,2023-03-16,6,129,15,,2733.37,Paga
522,2023-03-16,2,106,2,,1152.62,Paga
523,2023-03-16,2,109,20,,2776.81,Pago
524,2023-03-16,10,146,7,,3088.65,PAGO
525,2023-03-16,5,124,1,,2062.95,Paga
526,2023-03-16,1,104,15,,3544.48,Pago
527,2023-03-17,1,102,10,,2315.33,Paga
528,2023-03-17,7,134,19,,3103.24,PAGO
529,2023-03-17,8,139,13,,2336.57,Pago
530,2023-03-17,10,148,12,,3112.59,Paga
531,2023-03-17,6,130,12,,302.22,PAGO
532,2023-03-18,6,126,3,,2712.71,Pago
533,2023-03-18,5,121,14,,1482.86,Pago
534,2023-03-18,10,150,11,,3625.36,Paga
535,2023-03-18,7,135,7,,1683.14,PAGO
536,2023-03-19,8,140,14,,3283.54,PAGO
537,2023-03-19,4,119,2,,2614.69,Pago
538,2023-03-19,5,125,19,,1727.7,Pago
539,2023-03-20,10,148,3,,1238.79,PAGO
540,2023-03-20,5,125,9,,3255.68,Paga
541,2023-03-20,10,150,6,,1922.27,PAGO
542,2023-03-20,10,149,20,,1009.22,PAGO
543,2023-03-20,7,135,5,,2961.14,Pago
544,2023-03-20,5,124,10,,1758.99,Pago
545,2023-03-21,5,125,10,,1097.29,Pago
546,2023-03-21,8,139,9,,2327.34,Paga
547,2023-03-21,3,111,16,,1181.91,Paga
548,2023-03-21,1,101,14,,3466.42,Pago
549,2023-03-21,6,126,17,,1708.2,PAGO
550,2023-03-21,2,110,3,,2724.03,PAGO
551,2023-03-21,4,120,8,,664.65,Paga
